step,epoch,loss,learning_rate,t_data,t_transfer,t_forward,t_backward,t_optimizer,t_step,throughput,gpu_mem_gb,timestamp
25001,0.00016022431403965552,0.004569901883943572,1.8253050388081e-05,0.16202374798012897,0.03843835793668404,92.3969956820365,141.12791694095358,0.190299631038215,234.0794636089704,0.1367057131225146,11.993115648,2026-01-18T19:38:23.466590
25002,0.00032044862807931103,6.02515624059663e-06,1.8250284284608613e-05,0.0031444960623048246,0.04002125404076651,88.7608651361079,134.74807389295893,0.24846643401542678,223.80894722195808,0.14297909175304166,12.005097472,2026-01-18T19:42:07.276646
25003,0.0004806729421189666,0.001320029130116751,1.8247516228731105e-05,0.0024920368450693786,0.03904606797732413,90.38130067504244,137.52323518699268,0.17026716098189354,228.12566235498525,0.14027356532210283,11.99321088,2026-01-18T19:45:55.403189
25004,0.0006408972561586221,0.015514045779841723,1.8244746221193876e-05,0.00273499998729676,0.0363939490634948,90.09591156203533,137.07110588491196,0.16614166501676664,227.3785063319956,0.14073449824354448,12.017060352,2026-01-18T19:49:42.782332
25005,0.0008011215701982776,0.021957760764067302,1.8241974262742856e-05,0.0035512250615283847,0.04099440691061318,89.90676447999431,136.83915113308467,0.20279084000503644,226.99933411600068,0.14096957651711628,12.013424128,2026-01-18T19:53:29.782499
25006,0.0009613458842379332,0.003974544966427018,1.823920035412449e-05,0.002599143947008997,0.03593069897033274,91.79093363002175,140.6663317939383,0.24083671701373532,232.74392868898576,0.1374901600237289,11.992310272,2026-01-18T19:57:22.526964
25007,0.0011215701982775887,0.02303314665450884,1.823642449608576e-05,0.0026831618743017316,0.03978271590312943,90.54692974715726,138.15647410787642,0.2186045889975503,228.9726662429748,0.1397546725775693,12.00757504,2026-01-18T20:01:11.500229
25008,0.0012817945123172441,0.005493661833591901,1.8233646689374166e-05,0.002713398018386215,0.03751374513376504,90.53321265219711,137.93482855474576,0.3752499530091882,228.89050272095483,0.13980483951757433,12.010785792,2026-01-18T20:05:00.391323
25009,0.0014420188263568996,0.019919434934116964,1.8230866934737736e-05,0.0038696592091582716,0.04066646791761741,91.74900161509868,140.506320937071,0.22850748803466558,232.53442497900687,0.13761403285938822,11.992196096,2026-01-18T20:08:52.926373
25010,0.0016022431403965552,0.028996232926669308,1.822808523292502e-05,0.003104772884398699,0.03918716579210013,88.74889067607,133.80011712701526,0.17287404905073345,222.77111863996834,0.14364519151029095,12.016030208,2026-01-18T20:12:35.698063
25011,0.0017624674544362107,0.009113048383792233,1.8225301584685087e-05,0.002885956084355712,0.03763770899968222,90.162910229119,136.88892834098078,0.17090711405035108,227.26965604600264,0.14080190271209256,11.993252864,2026-01-18T20:16:22.968525
25012,0.0019226917684758663,8.091331459070261e-06,1.8222515990767545e-05,0.0027612808626145124,0.043267060013022274,90.20820187986828,136.76795160822803,0.18493402597960085,227.21352013299474,0.14083668956525766,12.011408384,2026-01-18T20:20:10.182625
25013,0.0020829160825155215,0.019925450675231104,1.8219728451922514e-05,0.0028570558642968535,0.041113541868980974,90.43317406805,137.2801635679789,0.19938273198204115,227.9637013929896,0.14037322523042728,12.014769664,2026-01-18T20:23:58.147127
25014,0.0022431403965551774,0.00401369907707938,1.8216938968900645e-05,0.002590063086245209,0.03483000205596909,88.94617432093946,134.46805745892925,0.2009903920115903,223.66088916896842,0.14307374042416982,12.010253312,2026-01-18T20:27:41.808600
25015,0.002403364710594833,0.010880030445935773,1.8214147542453104e-05,0.0030149140511639416,0.03873300302075222,89.53961140610045,135.56470040604472,0.1986354460241273,225.35518576798495,0.14199806359435496,12.007536128,2026-01-18T20:31:27.164524
25016,0.0025635890246344883,0.022932684544269222,1.8211354173331585e-05,0.002857858838979155,0.03853282908676192,90.89844872208778,138.5048203797196,0.22633634699741378,229.67736937501468,0.13932587301516308,12.009542656,2026-01-18T20:35:16.842781
25017,0.0027238133386741437,0.014683213017967489,1.8208558862288308e-05,0.0032352381385862827,0.03701033990364522,90.74333154800115,138.36846971290652,0.16292224504286423,229.3240937939845,0.1395405056249672,12.01228288,2026-01-18T20:39:06.167481
25018,0.002884037652713799,0.02025518593682385,1.820576161007601e-05,0.003053923137485981,0.036284223082475364,88.00802341889357,132.46403750701575,0.16038388101151213,220.67856382596074,0.1450072877274884,11.992141312,2026-01-18T20:42:46.846706
25019,0.003044261966753455,0.02106380215221293,1.8202962417447955e-05,0.002311679010745138,0.035841613076627254,89.69653816905338,135.98585247801384,0.16346196498489007,225.89480987598654,0.1416588544799573,11.993009152,2026-01-18T20:46:32.742222
25020,0.0032044862807931104,0.0002846743351057057,1.820016128515793e-05,0.0032607729081064463,0.03896941099083051,91.87226133409422,141.08523814199725,0.215479330974631,233.22335830400698,0.13720752600727049,12.01857792,2026-01-18T20:50:25.966364
25021,0.003364710594832766,0.022389785550942065,1.819735821396024e-05,0.0026194980018772185,0.038081667269580066,90.5120212189504,138.06325921579264,0.15700176201062277,228.78065533202607,0.13987196580741873,12.012730368,2026-01-18T20:54:14.747793
25022,0.0035249349088724213,0.004882336393441378,1.8194553204609718e-05,0.0027004090370610356,0.04407181398710236,88.9026880900492,134.0015853359946,0.20408483198843896,223.16423980600666,0.14339214933278344,11.992272896,2026-01-18T20:57:57.912567
25023,0.0036851592229120767,0.01758093915019643,1.819174625786171e-05,0.003135901119094342,0.045017727941740304,89.35729681211524,135.44245063199196,0.3028727900236845,225.15742510801647,0.14212278357974825,12.006430208,2026-01-18T21:01:43.070610
25024,0.0038453835369517326,0.0005833755915674033,1.8188937374472096e-05,0.0026578682009130716,0.04493850900325924,91.24222800903954,138.85822190408362,0.20953643100801855,230.3639514039969,0.13891062297277815,12.002371072,2026-01-18T21:05:33.435119
25025,0.004005607850991388,0.01728724509661106,1.818612655519727e-05,0.0035800448968075216,0.04336298507405445,89.13608051900519,134.54045489191776,0.20819492102600634,223.9410836029565,0.14289472697531205,12.011807744,2026-01-18T21:09:17.376890
25026,0.004165832165031043,0.022128965979305804,1.8183313800794142e-05,0.0027775659691542387,0.04301344003761187,89.37779708992457,135.03318474296248,0.1896052320371382,224.65395884797908,0.14244129132687156,12.006647296,2026-01-18T21:13:02.031532
25027,0.004326056479070699,0.014901488981841737,1.8180499112020155e-05,0.0033681790228001773,0.04144530993653461,89.28661017300328,135.47684334003134,0.2197960449848324,225.03512999799568,0.14220002006035687,12.014027264,2026-01-18T21:16:47.067232
25028,0.004486280793110355,0.0003235739892346601,1.8177682489633268e-05,0.0026202069129794836,0.04551525600254536,90.97298556799069,138.47792186995503,0.28533681097906083,229.7914090959821,0.13925672907394832,12.006524416,2026-01-18T21:20:36.859305
25029,0.00464650510715001,0.02269802705818691,1.8174863934391954e-05,0.003177215054165572,0.04170301713747904,89.5993207959109,136.11758053710219,0.15504536096705124,225.9239135759999,0.14164060587254004,12.008953344,2026-01-18T21:24:22.783768
25030,0.004806729421189666,0.01341163285309932,1.817204344705522e-05,0.003284685022663325,0.04828339407686144,89.21496627992019,135.01351719198283,0.20963402203051373,224.49632996501168,0.14254130570859347,11.993005056,2026-01-18T21:28:07.280687
25031,0.004966953735229321,0.004394572597449908,1.8169221028382583e-05,0.0028026860672980547,0.03981185599695891,89.09503192495322,134.45703360496555,0.2213376149884425,223.8253183759516,0.1429686338980236,11.992751104,2026-01-18T21:31:51.106852
25032,0.0051271780492689765,0.02021768389504075,1.816639667913408e-05,0.0030497220577672124,0.04545947187580168,89.36547229706775,135.26841143803904,0.17989854601910338,224.87077293900074,0.14230395342964572,12.011707392,2026-01-18T21:35:35.978191
25033,0.005287402363308632,2.459687007316802e-05,1.8163570400070274e-05,0.002815996005665511,0.03952228091657162,90.2931826171116,137.5490596317686,0.18605666502844542,228.07827461796114,0.1403027099078204,12.013830656,2026-01-18T21:39:24.057034
25034,0.005447626677348287,0.003031204874627491,1.816074219195224e-05,0.0031236958457157016,0.047721048817038536,91.10846784798196,139.38034193916246,0.16842912597348914,230.71428893500706,0.13869968846625924,11.99264768,2026-01-18T21:43:14.771951
25035,0.005607850991387943,1.6771657337599777e-05,1.815791205554158e-05,0.00256943900603801,0.04090446198824793,89.59569263708545,135.6547665639664,0.16344820900121704,225.46362361201318,0.14192976892390802,12.01038848,2026-01-18T21:47:00.236138
25036,0.005768075305427598,0.007397771644727769,1.8155079991600415e-05,0.002394127077423036,0.04279616801068187,89.39493214595132,135.3391091960366,0.18575846700696275,224.97238544002175,0.14223967949404745,11.99305728,2026-01-18T21:50:45.209586
25037,0.005928299619467254,0.010164246663627807,1.8152246000891375e-05,0.002575516002252698,0.04794746689731255,88.91673359513516,134.6866642020177,0.21386361599434167,223.87477304099593,0.1429370516620922,12.012454912,2026-01-18T21:54:29.085111
