step,epoch,loss,learning_rate,t_data,t_transfer,t_forward,t_backward,t_optimizer,t_step,throughput,gpu_mem_gb,timestamp
28501,0.00016022431403965552,0.004848766832325602,4.0687162224950775e-06,0.1320979119996082,0.04940773399994214,92.85262989799958,141.42973774700067,0.30736411899988525,234.9456024440001,0.1362017406034543,11.993115648,2026-02-02T11:10:17.113326
28502,0.00032044862807931103,1.4976653650577987e-06,4.065738068080327e-06,0.002501944999494299,0.03612564200147972,89.20791367999936,135.3726699720005,0.18812227299986262,224.81794919799995,0.14233738949294125,12.005097472,2026-02-02T11:14:01.932522
28503,0.0004806729421189666,0.0022103886964570663,4.0627617809700816e-06,0.003145885000776616,0.039325212999301584,90.72139630500033,137.93092402999991,0.1633704369996849,228.8668280429997,0.139819301353658,11.99321088,2026-02-02T11:17:50.800000
28504,0.0006408972561586221,0.0062645430527732415,4.059787361965817e-06,0.0025066000002880173,0.03752739699984886,90.36408426699882,137.30402035600082,0.21553425699994477,227.93073526700027,0.14039352772022995,12.017060352,2026-02-02T11:21:38.731349
28505,0.0008011215701982776,0.008069891028905873,4.056814811868502e-06,0.0028136610003457463,0.03761639100048342,90.10072353899886,137.13448464400062,0.17493095000008907,227.4576011539998,0.14068556002370944,12.013424128,2026-02-02T11:25:26.189544
28506,0.0009613458842379332,0.002064747753114382,4.053844131478607e-06,0.0024765279986240785,0.03756233799867914,91.94961266500104,140.850746428001,0.1944186279997666,233.04320667899992,0.13731359285695752,11.992310272,2026-02-02T11:29:19.233305
28507,0.0011215701982775887,0.011434102766955334,4.050875321596096e-06,0.00248490500052867,0.044527739999466576,90.78366755699972,138.31723892100217,0.15881888399962918,229.31404055300027,0.13954662314976737,12.00757504,2026-02-02T11:33:08.547916
28508,0.0012817945123172441,0.0030807648756248085,4.047908383020427e-06,0.0025411719998373883,0.03972404400155938,90.63090980599918,138.08256470600008,0.18694477699955314,228.9508812569993,0.13976797042366362,12.010785792,2026-02-02T11:36:57.499495
28509,0.0014420188263568996,0.008144153804812149,4.04494331655056e-06,0.002305040999999619,0.04369697499987524,91.94245138399947,140.7573089970001,0.1660111239998514,232.9204929540001,0.13738593626589884,11.992196096,2026-02-02T11:40:50.420571
28510,0.0016022431403965552,0.0045782931982820685,4.0419801229849495e-06,0.002496479998626455,0.04314238400093018,88.9287979640003,134.3265127859977,0.160040953999669,223.4684617969997,0.14319694037662023,12.016030208,2026-02-02T11:44:33.889715
28511,0.0017624674544362107,0.0057924139909424355,4.03901880312154e-06,0.0026443039996593143,0.041564917997675366,90.2802463520029,137.41616082899782,0.17903921800007083,227.92658511399986,0.14039608404607504,11.993252864,2026-02-02T11:48:21.816865
28512,0.0019226917684758663,2.2071497483011626e-06,4.03605935775778e-06,0.0024915169988162233,0.04096663000018452,90.34867573399879,137.20801175299857,0.21090519500012306,227.82090257799973,0.14046121158283123,12.011408384,2026-02-02T11:52:09.638513
